School,rank,salary type,salary
Furman,assoc_2020,cola-adjusted salaries,"92,360"
Furman,assist_2020,cola-adjusted salaries,"78,315"
Grinnell,all_fac_2020,real salaries,109613.09
Grinnell,full_2020,real salaries,139557.74
Grinnell,assoc_2020,real salaries,105907.67
Grinnell,assist_2020,real salaries,87727.22
Grinnell,all_fac_2020,cola-adjusted salaries,"132,413"
Grinnell,full_2020,cola-adjusted salaries,"168,586"
Grinnell,assoc_2020,cola-adjusted salaries,"127,936"
Grinnell,assist_2020,cola-adjusted salaries,"105,974"
Hamilton,all_fac_2020,real salaries,107611.34
Hamilton,full_2020,real salaries,142149.28
Hamilton,assoc_2020,real salaries,108150
Hamilton,assist_2020,real salaries,88382.78
Hamilton,all_fac_2020,cola-adjusted salaries,"133,976"
Hamilton,full_2020,cola-adjusted salaries,"176,976"
Hamilton,assoc_2020,cola-adjusted salaries,"134,647"
Hamilton,assist_2020,cola-adjusted salaries,"110,037"
Haverford,all_fac_2020,real salaries,100982.76
Haverford,full_2020,real salaries,131175.59
Haverford,assoc_2020,real salaries,101031.32
Haverford,assist_2020,real salaries,84959.35
Haverford,all_fac_2020,cola-adjusted salaries,"29,891"
Haverford,full_2020,cola-adjusted salaries,"38,828"
Haverford,assoc_2020,cola-adjusted salaries,"29,905"
Haverford,assist_2020,cola-adjusted salaries,"25,148"
Macalester,all_fac_2020,real salaries,98937.34
Macalester,full_2020,real salaries,126583.01
Macalester,assoc_2020,real salaries,95132.95
Macalester,assist_2020,real salaries,79774.8
Macalester,all_fac_2020,cola-adjusted salaries,"100,322"
Macalester,full_2020,cola-adjusted salaries,"128,355"
Macalester,assoc_2020,cola-adjusted salaries,"96,465"
Macalester,assist_2020,cola-adjusted salaries,"80,892"
Middlebury,all_fac_2020,real salaries,112177.21
Middlebury,full_2020,real salaries,140387.28
Middlebury,assoc_2020,real salaries,104368.11
Middlebury,assist_2020,real salaries,90234.19
Middlebury,all_fac_2020,cola-adjusted salaries,"115,318"
Middlebury,full_2020,cola-adjusted salaries,"144,318"
Middlebury,assoc_2020,cola-adjusted salaries,"107,290"
Middlebury,assist_2020,cola-adjusted salaries,"92,761"
Oberlin,all_fac_2020,real salaries,97482.62
Oberlin,full_2020,real salaries,122742.26
Oberlin,assoc_2020,real salaries,94994.3
Oberlin,assist_2020,real salaries,72109.46
Oberlin,all_fac_2020,cola-adjusted salaries,"119,806"
Oberlin,full_2020,cola-adjusted salaries,"150,850"
Oberlin,assoc_2020,cola-adjusted salaries,"116,748"
Oberlin,assist_2020,cola-adjusted salaries,"88,623"
Pomona,all_fac_2020,real salaries,126433.41
Pomona,full_2020,real salaries,160490.68
Pomona,assoc_2020,real salaries,120016.47
Pomona,assist_2020,real salaries,98629.45
Pomona,all_fac_2020,cola-adjusted salaries,"43,367"
Pomona,full_2020,cola-adjusted salaries,"55,048"
Pomona,assoc_2020,cola-adjusted salaries,"41,166"
Pomona,assist_2020,cola-adjusted salaries,"33,830"
Swarthmore,all_fac_2020,real salaries,123618.93
Swarthmore,full_2020,real salaries,156328.64
Swarthmore,assoc_2020,real salaries,111489.46
Swarthmore,assist_2020,real salaries,87689.87
Swarthmore,all_fac_2020,cola-adjusted salaries,"108,290"
Swarthmore,full_2020,cola-adjusted salaries,"136,944"
Swarthmore,assoc_2020,cola-adjusted salaries,"97,665"
Swarthmore,assist_2020,cola-adjusted salaries,"76,816"
Vassar,all_fac_2020,real salaries,111749.42
Vassar,full_2020,real salaries,142788.3
Vassar,assoc_2020,real salaries,111493.42
Vassar,assist_2020,real salaries,89257.63
Vassar,all_fac_2020,cola-adjusted salaries,"108,956"
Vassar,full_2020,cola-adjusted salaries,"139,219"
Vassar,assoc_2020,cola-adjusted salaries,"108,706"
Vassar,assist_2020,cola-adjusted salaries,"87,026"
Washington and Lee,all_fac_2020,real salaries,118671.58
Washington and Lee,full_2020,real salaries,143853.24
Washington and Lee,assoc_2020,real salaries,115712.37
Washington and Lee,assist_2020,real salaries,95154.32
Washington and Lee,all_fac_2020,cola-adjusted salaries,"135,642"
Washington and Lee,full_2020,cola-adjusted salaries,"164,424"
Washington and Lee,assoc_2020,cola-adjusted salaries,"132,259"
Washington and Lee,assist_2020,cola-adjusted salaries,"108,761"
Wesleyan,all_fac_2020,real salaries,111713.59
Wesleyan,full_2020,real salaries,158454.83
Wesleyan,assoc_2020,real salaries,111007.56
Wesleyan,assist_2020,real salaries,91207.26
Wesleyan,all_fac_2020,cola-adjusted salaries,"108,809"
Wesleyan,full_2020,cola-adjusted salaries,"154,335"
Wesleyan,assoc_2020,cola-adjusted salaries,"108,121"
Wesleyan,assist_2020,cola-adjusted salaries,"88,836"
Williams,all_fac_2020,real salaries,122390.65
Williams,full_2020,real salaries,149902.98
Williams,assoc_2020,real salaries,106039.74
Williams,assist_2020,real salaries,93837.29
Williams,all_fac_2020,cola-adjusted salaries,"121,289"
Williams,full_2020,cola-adjusted salaries,"148,554"
Williams,assoc_2020,cola-adjusted salaries,"105,085"
Williams,assist_2020,cola-adjusted salaries,"92,993"
