School,rank,salary type,salary
peer school,assist_2020,real salaries,79774.8
peer school,all_fac_2020,cola-adjusted salaries,100322.46276
peer school,full_2020,cola-adjusted salaries,128355.17214
peer school,assoc_2020,cola-adjusted salaries,96464.8113
peer school,assist_2020,cola-adjusted salaries,80891.6472
peer school,all_fac_2020,real salaries,112177.21
peer school,full_2020,real salaries,140387.28
peer school,assoc_2020,real salaries,104368.11
peer school,assist_2020,real salaries,90234.19
peer school,all_fac_2020,cola-adjusted salaries,115318.17188
peer school,full_2020,cola-adjusted salaries,144318.12384
peer school,assoc_2020,cola-adjusted salaries,107290.41708
peer school,assist_2020,cola-adjusted salaries,92760.74732
peer school,all_fac_2020,real salaries,97482.62
peer school,full_2020,real salaries,122742.26
peer school,assoc_2020,real salaries,94994.3
peer school,assist_2020,real salaries,72109.46
peer school,all_fac_2020,cola-adjusted salaries,119806.13998
peer school,full_2020,cola-adjusted salaries,150850.23754
peer school,assoc_2020,cola-adjusted salaries,116747.9947
peer school,assist_2020,cola-adjusted salaries,88622.52634
peer school,all_fac_2020,real salaries,126433.41
peer school,full_2020,real salaries,160490.68
peer school,assoc_2020,real salaries,120016.47
peer school,assist_2020,real salaries,98629.45
peer school,all_fac_2020,cola-adjusted salaries,43366.65963
peer school,full_2020,cola-adjusted salaries,55048.30324
peer school,assoc_2020,cola-adjusted salaries,41165.64921
peer school,assist_2020,cola-adjusted salaries,33829.90135
peer school,all_fac_2020,real salaries,123618.93
peer school,full_2020,real salaries,156328.64
peer school,assoc_2020,real salaries,111489.46
peer school,assist_2020,real salaries,87689.87
peer school,all_fac_2020,cola-adjusted salaries,108290.18268
peer school,full_2020,cola-adjusted salaries,136943.88864
peer school,assoc_2020,cola-adjusted salaries,97664.76696
peer school,assist_2020,cola-adjusted salaries,76816.32612
peer school,all_fac_2020,real salaries,111749.42
peer school,full_2020,real salaries,142788.3
peer school,assoc_2020,real salaries,111493.42
peer school,assist_2020,real salaries,89257.63
peer school,all_fac_2020,cola-adjusted salaries,108955.6845
peer school,full_2020,cola-adjusted salaries,139218.5925
peer school,assoc_2020,cola-adjusted salaries,108706.0845
peer school,assist_2020,cola-adjusted salaries,87026.18925
peer school,all_fac_2020,real salaries,118671.58
peer school,full_2020,real salaries,143853.24
peer school,assoc_2020,real salaries,115712.37
peer school,assist_2020,real salaries,95154.32
peer school,all_fac_2020,cola-adjusted salaries,135641.61594
peer school,full_2020,cola-adjusted salaries,164424.25332
peer school,assoc_2020,cola-adjusted salaries,132259.23891
peer school,assist_2020,cola-adjusted salaries,108761.38776
peer school,all_fac_2020,real salaries,111713.59
peer school,full_2020,real salaries,158454.83
peer school,assoc_2020,real salaries,111007.56
peer school,assist_2020,real salaries,91207.26
peer school,all_fac_2020,cola-adjusted salaries,108809.03666
peer school,full_2020,cola-adjusted salaries,154335.00442
peer school,assoc_2020,cola-adjusted salaries,108121.36344
peer school,assist_2020,cola-adjusted salaries,88835.87124
peer school,all_fac_2020,real salaries,122390.65
peer school,full_2020,real salaries,149902.98
peer school,assoc_2020,real salaries,106039.74
peer school,assist_2020,real salaries,93837.29
peer school,all_fac_2020,cola-adjusted salaries,121289.13415
peer school,full_2020,cola-adjusted salaries,148553.85318
peer school,assoc_2020,cola-adjusted salaries,105085.38234
peer school,assist_2020,cola-adjusted salaries,92992.75439
